t S E I R D
0 8 0 2 0 0
0.125 7 1 2 0 0
0.25 7 1 2 0 0
0.375 7 1 2 0 0
0.5 7 1 2 0 0
0.625 7 1 2 0 0
0.75 7 1 2 0 0
0.875 6 2 2 0 0
1 6 2 2 0 0
1.125 6 2 2 0 0
1.25 6 2 2 0 0
1.375 6 2 2 0 0
1.5 6 2 2 0 0
1.625 6 2 2 0 0
1.75 6 1 2 1 0
1.875 6 1 2 1 0
2 6 1 2 1 0
2.125 6 0 3 1 0
2.25 6 0 3 1 0
2.375 6 0 3 1 0
2.5 6 0 3 1 0
2.625 6 0 3 1 0
2.75 6 0 3 1 0
2.875 6 0 3 1 0
3 6 0 3 1 0
3.125 6 0 3 1 0
3.25 6 0 3 1 0
3.375 6 0 3 1 0
3.5 6 0 3 1 0
3.625 6 0 3 1 0
3.75 6 0 3 1 0
3.875 5 1 3 1 0
4 5 1 3 1 0
4.125 5 1 3 1 0
4.25 4 2 3 1 0
4.375 4 2 3 1 0
4.5 4 2 3 1 0
4.625 4 2 3 1 0
4.75 4 2 3 1 0
4.875 4 2 3 1 0
5 4 2 3 1 0
5.125 4 2 3 1 0
5.25 4 2 3 1 0
5.375 4 2 3 1 0
5.5 4 2 3 1 0
5.625 4 2 3 1 0
5.75 4 2 3 1 0
5.875 4 2 3 1 0
6 4 2 3 1 0
6.125 3 3 3 1 0
6.25 3 3 3 1 0
6.375 3 3 3 1 0
6.5 3 2 4 1 0
6.625 3 2 4 1 0
6.75 3 2 4 1 0
6.875 3 2 4 1 0
7 3 2 4 1 0
7.125 2 3 4 1 0
7.25 2 3 4 1 0
7.375 2 3 4 1 0
7.5 2 2 5 1 0
7.625 2 2 5 1 0
7.75 2 2 5 1 0
7.875 2 1 5 2 0
8 2 1 5 2 0
8.125 2 1 5 2 0
8.25 2 1 5 2 0
8.375 2 1 5 2 0
8.5 2 1 3 4 0
8.625 2 1 3 4 0
8.75 2 1 3 4 0
8.875 2 1 3 4 0
9 2 0 4 4 0
9.125 2 0 4 4 0
9.25 2 0 4 4 0
9.375 2 0 4 4 0
9.5 2 0 4 4 0
9.625 2 0 4 4 0
9.75 2 0 4 4 0
9.875 2 0 4 4 0
10 2 0 4 4 0
10.125 2 0 4 4 0
10.25 2 0 4 4 0
10.375 2 0 4 4 0
10.5 2 0 4 4 0
10.625 2 0 4 4 0
10.75 2 0 4 4 0
10.875 2 0 4 4 0
11 2 0 4 4 0
11.125 2 0 4 4 0
11.25 2 0 4 4 0
11.375 2 0 4 4 0
11.5 2 0 4 4 0
11.625 2 0 4 4 0
11.75 2 0 4 4 0
11.875 2 0 4 4 0
12 1 1 4 4 0
12.125 1 1 4 4 0
12.25 1 1 4 4 0
12.375 1 1 4 4 0
12.5 1 0 5 4 0
12.625 1 0 5 4 0
12.75 1 0 5 4 0
12.875 1 0 5 4 0
13 1 0 5 4 0
13.125 1 0 5 4 0
13.25 1 0 5 4 0
13.375 1 0 5 4 0
13.5 1 0 5 4 0
13.625 1 0 5 4 0
13.75 1 0 5 4 0
13.875 1 0 5 4 0
14 1 0 5 4 0
14.125 1 0 5 4 0
14.25 1 0 5 4 0
14.375 0 1 5 4 0
14.5 0 1 5 4 0
14.625 0 1 5 4 0
14.75 0 1 5 4 0
14.875 0 1 5 4 0
15 0 1 5 4 0
15.125 0 1 5 4 0
15.25 0 1 5 4 0
15.375 0 1 5 4 0
15.5 0 1 5 4 0
15.625 0 1 5 4 0
15.75 0 1 5 4 0
15.875 0 1 5 4 0
16 0 1 5 4 0
16.125 0 1 5 4 0
16.25 0 1 5 4 0
16.375 0 0 6 4 0
16.5 0 0 6 4 0
16.625 0 0 6 4 0
16.75 0 0 6 4 0
16.875 0 0 6 4 0
17 0 0 6 4 0
17.125 0 0 6 4 0
17.25 0 0 6 4 0
17.375 0 0 6 4 0
17.5 0 0 6 4 0
17.625 0 0 6 4 0
17.75 0 0 5 5 0
17.875 0 0 5 5 0
18 0 0 5 5 0
18.125 0 0 5 5 0
18.25 0 0 5 5 0
18.375 0 0 5 5 0
18.5 0 0 5 5 0
18.625 0 0 5 5 0
18.75 0 0 5 5 0
18.875 0 0 5 5 0
19 0 0 5 5 0
19.125 0 0 5 5 0
19.25 0 0 5 5 0
19.375 0 0 4 6 0
19.5 0 0 4 6 0
19.625 0 0 4 6 0
19.75 0 0 4 6 0
19.875 0 0 4 6 0
20 0 0 4 6 0
20.125 0 0 4 6 0
20.25 0 0 4 6 0
20.375 0 0 4 6 0
20.5 0 0 4 6 0
20.625 0 0 4 6 0
20.75 0 0 4 6 0
20.875 0 0 4 6 0
21 0 0 4 6 0
21.125 0 0 4 6 0
21.25 0 0 4 6 0
21.375 0 0 4 6 0
21.5 0 0 4 6 0
21.625 0 0 4 6 0
21.75 0 0 4 6 0
21.875 0 0 4 6 0
22 0 0 4 6 0
22.125 0 0 4 6 0
22.25 0 0 4 6 0
22.375 0 0 4 6 0
22.5 0 0 4 6 0
22.625 0 0 4 6 0
22.75 0 0 4 6 0
22.875 0 0 4 6 0
23 0 0 4 6 0
23.125 0 0 4 6 0
23.25 0 0 4 6 0
23.375 0 0 4 6 0
23.5 0 0 4 6 0
23.625 0 0 4 6 0
23.75 0 0 4 6 0
23.875 0 0 4 6 0
24 0 0 4 6 0
24.125 0 0 4 6 0
24.25 0 0 4 6 0
24.375 0 0 4 6 0
24.5 0 0 4 6 0
24.625 0 0 3 7 0
24.75 0 0 3 7 0
24.875 0 0 3 7 0
25 0 0 3 7 0
25.125 0 0 3 7 0
25.25 0 0 3 7 0
25.375 0 0 3 7 0
25.5 0 0 3 7 0
25.625 0 0 3 7 0
25.75 0 0 3 7 0
25.875 0 0 3 7 0
26 0 0 3 7 0
26.125 0 0 3 7 0
26.25 0 0 3 7 0
26.375 0 0 3 7 0
26.5 0 0 3 7 0
26.625 0 0 3 7 0
26.75 0 0 3 7 0
26.875 0 0 3 7 0
27 0 0 3 7 0
27.125 0 0 3 7 0
27.25 0 0 3 7 0
27.375 0 0 3 7 0
27.5 0 0 3 7 0
27.625 0 0 3 7 0
27.75 0 0 3 7 0
27.875 0 0 3 7 0
28 0 0 3 7 0
28.125 0 0 3 7 0
28.25 0 0 3 7 0
28.375 0 0 3 7 0
28.5 0 0 3 7 0
28.625 0 0 3 7 0
28.75 0 0 3 7 0
28.875 0 0 3 7 0
29 0 0 3 7 0
29.125 0 0 3 7 0
29.25 0 0 3 7 0
29.375 0 0 3 7 0
