t S E I R D
0 9998 0 2 0 0
0.125 9998 0 2 0 0
0.25 9998 0 2 0 0
0.375 9998 0 2 0 0
0.5 9998 0 2 0 0
0.625 9998 0 2 0 0
0.75 9998 0 2 0 0
0.875 9998 0 2 0 0
1 9997 1 2 0 0
1.125 9997 1 2 0 0
1.25 9997 1 2 0 0
1.375 9997 1 2 0 0
1.5 9997 1 2 0 0
1.625 9997 1 2 0 0
1.75 9996 2 2 0 0
1.875 9996 2 2 0 0
2 9996 2 2 0 0
2.125 9996 2 2 0 0
2.25 9996 2 2 0 0
2.375 9996 1 3 0 0
2.5 9996 1 3 0 0
2.625 9996 1 3 0 0
2.75 9996 1 3 0 0
2.875 9996 1 3 0 0
3 9996 1 3 0 0
3.125 9995 2 3 0 0
3.25 9995 2 3 0 0
3.375 9995 2 3 0 0
3.5 9995 2 3 0 0
3.625 9995 2 3 0 0
3.75 9995 2 3 0 0
3.875 9995 2 3 0 0
4 9995 2 3 0 0
4.125 9995 1 3 1 0
4.25 9994 2 3 1 0
4.375 9994 2 3 1 0
4.5 9994 2 3 1 0
4.625 9994 2 3 1 0
4.75 9994 2 3 1 0
4.875 9994 2 3 1 0
5 9994 2 3 1 0
5.125 9994 2 3 1 0
5.25 9994 2 3 1 0
5.375 9994 2 3 1 0
5.5 9994 1 3 2 0
5.625 9991 4 3 2 0
5.75 9987 8 2 3 0
5.875 9987 8 2 3 0
6 9986 9 2 3 0
6.125 9986 8 3 3 0
6.25 9986 7 4 3 0
6.375 9986 7 4 3 0
6.5 9986 7 4 3 0
6.625 9986 6 5 3 0
6.75 9985 7 5 3 0
6.875 9984 7 6 3 0
7 9984 7 6 3 0
7.125 9984 7 5 4 0
7.25 9983 8 5 4 0
7.375 9983 6 7 4 0
7.5 9983 5 8 4 0
7.625 9982 6 8 4 0
7.75 9982 6 8 4 0
7.875 9982 6 8 4 0
8 9982 5 9 4 0
8.125 9980 7 9 4 0
8.25 9980 6 10 4 0
8.375 9978 8 10 4 0
8.5 9976 8 12 4 0
